2026-03-31 12:17:47,636 | INFO     | pipeline | ============================================================
2026-03-31 12:17:47,636 | INFO     | pipeline |   Sales & Orders Data Cleaning Pipeline  v1.0.0
2026-03-31 12:17:47,636 | INFO     | pipeline |   Author: Kisavi Shadrack
2026-03-31 12:17:47,636 | INFO     | pipeline | ============================================================
2026-03-31 12:17:47,636 | INFO     | pipeline.DataLoader | Loading file: data/messy_sales_data.xlsx  |  sheet: Sales Data
2026-03-31 12:17:47,693 | INFO     | pipeline.DataLoader | Loaded 315 rows × 10 columns
2026-03-31 12:17:47,693 | INFO     | pipeline.DataValidator | Running pre-clean validation …
2026-03-31 12:17:47,735 | INFO     | pipeline.DataValidator | Validation complete → 317 issues found
2026-03-31 12:17:47,736 | INFO     | pipeline.DataCleaner | Starting cleaning …
2026-03-31 12:17:47,738 | INFO     | pipeline.DataCleaner |   Duplicates removed: 15
2026-03-31 12:17:47,743 | INFO     | pipeline.DataCleaner |   Text standardisation done
2026-03-31 12:17:47,746 | INFO     | pipeline.DataCleaner |   Unparseable dates set to NaT: 14
2026-03-31 12:17:47,750 | INFO     | pipeline.DataCleaner |   Revenue mismatches corrected: 14
2026-03-31 12:17:47,753 | INFO     | pipeline.DataCleaner |   Outliers flagged: 1
2026-03-31 12:17:47,756 | INFO     | pipeline.DataCleaner | Cleaning done. Clean rows: 300
2026-03-31 12:17:48,540 | INFO     | pipeline.ReportGenerator | Clean file saved → output/clean_sales_data.xlsx
2026-03-31 12:17:48,594 | INFO     | pipeline.ReportGenerator | Summary report saved → reports/summary_report.xlsx
2026-03-31 12:17:48,847 | INFO     | pipeline.ReportGenerator | Validation report saved → reports/validation_report.xlsx
2026-03-31 12:17:48,848 | INFO     | pipeline.ChartGenerator | Generating charts …
2026-03-31 12:17:49,159 | INFO     | matplotlib.category | Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2026-03-31 12:17:49,161 | INFO     | matplotlib.category | Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2026-03-31 12:17:49,162 | INFO     | matplotlib.category | Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2026-03-31 12:17:49,660 | INFO     | pipeline.ChartGenerator | Charts saved to output/charts
2026-03-31 12:17:49,660 | INFO     | pipeline | ============================================================
2026-03-31 12:17:49,660 | INFO     | pipeline | Pipeline complete. All outputs written.
2026-03-31 12:17:49,660 | INFO     | pipeline |   Raw rows     : 315
2026-03-31 12:17:49,660 | INFO     | pipeline |   Clean rows   : 300
2026-03-31 12:17:49,660 | INFO     | pipeline |   Duplicates   : 15
2026-03-31 12:17:49,660 | INFO     | pipeline |   Outliers     : 1
2026-03-31 12:17:49,661 | INFO     | pipeline |   Val. issues  : 317
2026-03-31 12:17:49,661 | INFO     | pipeline | ============================================================
